연번,업종명,업소명,주소,전화번호,위도,경도,웹페이지,가격대,메뉴,,,,,,
11,일반음식점,장금이네튀김, 청주시 흥덕구 풍산로117번길 4 (복대동 (1층)),043-234-5685,36.6294855,127.4407685,https://store.naver.com/restaurants/detail?id=1495272530,,,,,,,,
12,일반음식점,동인동찜갈비, 청주시 흥덕구 성봉로237번길 23 (복대동  (1층)),043-275-8755,36.5388096,127.2985477,http://bestfood0432758755.modoo.at/,"18,000",등갈비찜 불고기,,,,,,
13,일반음식점,한양왕족발보쌈, 청주시 흥덕구 내수동로 24  1층 (복대동),043-231-2228,36.6392631,127.4424733,http://bestfood0432312228.modoo.at/,"25,000",족발 보쌈,,,,,,
14,일반음식점,가락우동, 청주시 흥덕구 복대동 1644번지,043-246-2465,36.6315266,127.449291,"https://www.google.com/maps/place/%EA%B0%80%EB%9D%BD%EC%9A%B0%EB%8F%99/@36.6315266,127.449291,17z/data=!3m1!4b1!4m5!3m4!1s0x356528922e28b257:0xbc98e63c46c60aa4!8m2!3d36.6315266!4d127.451485","4,000",우동 만두,,,,,,
15,일반음식점,달콤한 닭강정,충북 청주시 흥덕구 가경로 9-12 (가경동 외 1필지(101호)),043-233-1009,36.6083208,127.3005499,https://store.naver.com/restaurants/detail?id=37653273,"2,000",닭강정,,,,,,
16,일반음식점,갈골마당, 충청북도 청주시 흥덕구 봉명1동 216-1 (봉명동 (1층)),043-262-8884,36.6378875,127.4514858,https://store.naver.com/restaurants/detail?id=1517426232,"7,000",한식,,,,,,
17,일반음식점,와우돈강마루, 청주시 흥덕구 장구봉로129번길 1 (복대동 (1층)),043-276-0700,36.6247328,127.4452627,https://store.naver.com/restaurants/detail?entry=plt&id=32194722&query=%EC%99%80%EC%9A%B0%EB%8F%88%EA%B0%95%EB%A7%88%EB%A3%A8,"7,000",한식,,,,,,
18,일반음식점,양평장터왕족발, 청주시 흥덕구 복대로190번길 3 (복대동 (1층)),043-233-5399,36.6335444,127.4410179,https://store.naver.com/restaurants/detail?id=20109956,"29,000",족발 보쌈,,,,,,
19,일반음식점,복대포차,충청북도 청주시 흥덕구 복대2동 1110,043-264-2255,36.6293197,127.4437308,https://store.naver.com/restaurants/detail?id=1775757268,"7,000",한식,,,,,,
20,일반음식점,오점오닭갈비전문점,청주시 흥덕구 가경로127번길 3  1층 (가경동),043-293-9639,36.626379,127.4369965,https://store.naver.com/restaurants/detail?id=1775757268,"10,000",닭갈비 닭발,,,,,,
21,일반음식점,이모네칼국수, 청주시 흥덕구 월명로 42 (봉명동  (1층)),043-271-4390,36.6155889,127.5001434,https://store.naver.com/restaurants/detail?id=32031380,"5,000",칼국수,,,,,,
22,일반음식점,떡두리,청주시 흥덕구 가경로149번길 3 (가경동  (1층)),043-231-7407,36.6282495,127.4350101,https://store.naver.com/restaurants/detail?id=1923202710,"3,000",떡볶이 튀김 순대 오뎅,,,,,,
23,일반음식점,소호오목점, 청주시 흥덕구 성봉로 307  1층 (복대동),070-8995-9996,36.6321038,127.4521663,https://store.naver.com/restaurants/detail?id=1240376021,"4,000",마라탕,,,,,,
24,일반음식점,이화, 청주시 흥덕구 복대로 122  1층 (복대동),043-235-8743,36.6273651,127.4390541,https://store.naver.com/restaurants/detail?id=1028480019,"35,000",매운탕 해물탕,,,,,,
25,일반음식점,오빠가찜한닭, 청주시 흥덕구 신율로90번길 2  1층 (복대동),043-265-5888,36.6280706,127.4470842,https://store.naver.com/restaurants/detail?id=35011498,"18,000",치킨 닭강정,,,,,,
26,일반음식점,토종흑돼지식당, 청주시 흥덕구 내수동로12번길 6  2층 4호 (복대동  효성아파트상가),043-275-2535,36.6280693,127.431715,https://store.naver.com/restaurants/detail?id=1273326838,"12,000",삼겹살 갈비,,,,,,
27,일반음식점,빅스타피자, 청주시 흥덕구 충대로 10  1층 (복대동),0504-358-7439,36.6280667,127.4316292,https://store.naver.com/restaurants/detail?id=35853824,"17,900",피자 오븐스파게티,,,,,,
28,일반음식점,동북양꼬치, 청주시 흥덕구 충대로 11  2층 (복대동),070-7778-6658,36.6320681,127.4466203,https://store.naver.com/restaurants/detail?id=1692856759,"18,000",양꼬치,,,,,,
29,일반음식점,쭈당 가경복대점, 청주시 흥덕구 복대로 136-1 (복대동),031-231-5585,36.6285535,127.439008,https://store.naver.com/restaurants/detail?id=79094206,"16,000",포장마자,,,,,,
30,일반음식점,자매김밥, 청주시 흥덕구 풍산로128번길 26-1  1층 (복대동),043-233-1230,36.7137588,127.162101,https://store.naver.com/restaurants/detail?id=37190258,"2,000",김밥,,,,,,
31,일반음식점,이쉐프참치두툼막회, 청주시 흥덕구 복대로 94  108 109호 (복대동  형석아파트 상가동),043-237-1114,36.6254224,127.4425278,https://store.naver.com/restaurants/detail?id=1938858477&tab=menu#_tab,"75,000",다랑어 ,,,,,,
32,일반음식점,맛잇겟쥬, 청주시 흥덕구 봉명로205번길 52  1층 (봉명동),043-263-1002,36.6419524,127.4625138,https://store.naver.com/restaurants/detail?id=1215918510,"4,000",분식,,,,,,
33,일반음식점,그랑카페, 청주시 흥덕구 봉명로227번길 6  1층 (봉명동),043-266-0195,36.6419511,127.4471446,https://store.naver.com/restaurants/detail?id=753675542,"3,000",카페 디저트,,,,,,
34,일반음식점,장터열통닭,충청북도 청주시 흥덕구 복대2동 1632,043-274-1092,36.6313602,127.4519744,"https://www.google.com/maps/place/%EC%9E%A5%ED%84%B0%EC%97%B4%ED%86%B5%EB%8B%AD%EC%B6%A9%EB%8C%801%ED%98%B8%EC%A0%90/@36.6322958,127.4523663,15z/data=!4m2!3m1!1s0x0:0xf4ff2d9ad6b277d4?sa=X&ved=2ahUKEwiRjMjClNTpAhXOfXAKHSeqD20Q_BIwE3oECBAQCA","19,000",치킨 통닭,,,,,,
35,일반음식점,골목대장몽실이비어, 청주시 흥덕구 봉명로 159  2층 (봉명동),043-522-6910,37.0682181,126.679173,https://store.naver.com/restaurants/detail?id=1227831072,"8,000",감자튀김 소시지,,,,,,
36,일반음식점,인호네신닭발&통닭, 청주시 흥덕구 가경로 177-3  1층 (가경동),043-234-1121,36.6304142,127.4337803,https://store.naver.com/restaurants/detail?id=36297283,"6,000",닭발 ,,,,,,
37,일반음식점,맘스터치복대점, 청주시 흥덕구 복대로 138-1  1층 (복대동),043-908-8007,36.6286804,127.4390104,https://store.naver.com/restaurants/detail?id=38563251,"17,000",치킨,,,,,,
38,일반음식점,123중화요리, 청주시 흥덕구 충대로 5  2층 (복대동),043-234-1121,36.6292532,127.4546963,https://store.naver.com/restaurants/detail?id=1841267558,"6,000",짜장면 짬봉,,,,,,
39,일반음식점,치킨이닭, 청주시 흥덕구 봉명로 229  1층 (봉명동),043-903-7722,36.6399405,127.4599405,https://store.naver.com/restaurants/detail?id=1335053496,"18,000",치킨,,,,,,
40,일반음식점,피자나라치킨공주,청주시 흥덕구 풍산로109번길 16,050-7416-4746,36.6298963,127.4399639,https://store.naver.com/restaurants/detail?id=13422211,"13,900",치킨 피자,,,,,,
41,일반음식점,전집포장마차,청주시 흥덕구 복대동 1444번지 1층 청주시 충청북도 KR,043-236-8111,36.6286661,127.4440103,https://store.naver.com/restaurants/detail?id=1025775408,5000,전 빈대떡,,,,,,
42,일반음식점,치킨더홈 복대점, 청주시 흥덕구 복대로190번길 90  1층 (복대동),043-233-9977,36.6344046,127.4435499,https://store.naver.com/restaurants/detail?entry=plt&id=509297796&query=%EC%B9%98%ED%82%A8%EB%8D%94%ED%99%88%20%EC%B2%AD%EC%A3%BC%EB%B3%B5%EB%8C%80%EC%A0%90,"18,000",치킨,,,,,,
43,일반음식점,햇살머믄꼬마김밥가경점, 청주시 흥덕구 가경로 96  111동 109호 (가경동  삼일아파트 상가),043-237-2244,36.6240788,127.4387502,https://store.naver.com/restaurants/detail?id=775089601,"5,000",김밥,,,,,,
44,일반음식점,탕화쿵푸, 청주시 흥덕구 충대로 12  1층 (복대동),010-7668-8567,36.9581114,126.5525564,https://store.naver.com/restaurants/detail?id=1741811314,"3,000",마라탕 ,,,,,,
45,일반음식점,노여사대구뽈찜, 청주시 흥덕구 천석로65번길 17  1층 (봉명동),043-260-5242,36.641027,127.4623379,https://store.naver.com/restaurants/detail?id=1102735143,"48,000",아귀찜 해물찜,,,,,,
46,일반음식점,노세노세포차, 청주시 흥덕구 월명로 36  1층 일부호 (봉명동),043-267-3021,36.6378875,127.4514858,http://localmap.co.kr/web/splus/kmap/view.php?sigun=6430000&gugun=5710000&keyno=113&keyname=%EB%85%B8%EC%84%B8%EB%85%B8%EC%84%B8%ED%8F%AC%EC%B0%A8,"9,000",포장마차,,,,,,
47,일반음식점,홍짜장, 청주시 흥덕구 가경로 9-9  1층 104호 (가경동  그린프라자),043-236-2003,36.6292439,127.435592,https://store.naver.com/restaurants/detail?id=1678889926,"6,000",짜장 탕수육,,,,,,
48,일반음식점,호(好), 청주시 흥덕구 내수동로 63  2층 (복대동),010-6714-7333,36.6327769,127.4522945,https://store.naver.com/restaurants/detail?id=1912755437,"15,000",마라탕 중국퓨전요리,,,,,,
49,일반음식점,새금강밀면, 청주시 흥덕구 풍산로 104 (복대동),043-232-1189,36.6290482,127.4391828,https://store.naver.com/restaurants/detail?id=1113275120,"3,000",국수 돈까스,,,,,,
50,일반음식점,유로코 피자, 청주시 흥덕구 봉명로142번길 11 (봉명동),043-272-1828,36.6399507,127.4472009,https://store.naver.com/restaurants/detail?id=1028202351,"20,900",피자,,,,,,
51,일반음식점,치킨나라, 청주시 흥덕구 가경로 140  지하1층 9호 (가경동),,,,,,,,,,,,
52,일반음식점,밸런스(balance), 청주시 흥덕구 내수동로 61-3  1층 (복대동),,,,,,,,,,,,
53,일반음식점,전집포장마차, 청주시 흥덕구 풍산로 147  1층 (복대동),,,,,,,,,,,,
54,일반음식점,치킨더홈 복대점, 청주시 흥덕구 복대로190번길 90  1층 (복대동),,,,,,,,,,,,
55,일반음식점,그녀들의 식탁, 청주시 흥덕구 충대로14번길 4  1층 (복대동),,,,,,,,,,,,
56,일반음식점,햇살머믄꼬마김밥가경점, 청주시 흥덕구 가경로 96  111동 109호 (가경동  삼일아파트 상가),,,,,,,,,,,,
57,일반음식점,탕화쿵푸, 청주시 흥덕구 충대로 12  1층 (복대동),,,,,,,,,,,,
58,일반음식점,노여사대구뽈찜, 청주시 흥덕구 천석로65번길 17  1층 (봉명동),,,,,,,,,,,,
59,일반음식점,노세노세포차, 청주시 흥덕구 월명로 36  1층 일부호 (봉명동),,,,,,,,,,,,
60,일반음식점,김밥은, 청주시 흥덕구 성봉로 227-1  1층 일부호 (복대동),,,,,,,,,,,,
61,일반음식점,83슈퍼(팔삼슈퍼), 청주시 흥덕구 풍산로 131  1층 일부호 (복대동),,,,,,,,,,,,
62,일반음식점,홍짜장, 청주시 흥덕구 가경로 9-9  1층 104호 (가경동  그린프라자),,,,,,,,,,,,
63,일반음식점,호(好), 청주시 흥덕구 내수동로 63  2층 (복대동),,,,,,,,,,,,
64,일반음식점,새금강밀면, 청주시 흥덕구 풍산로 104 (복대동),,,,,,,,,,,,
65,일반음식점,클리플러, 청주시 흥덕구 봉명로 209  1층 101호 (봉명동),,,,,,,,,,,,
66,일반음식점,유로코 피자, 청주시 흥덕구 봉명로142번길 11 (봉명동),,,,,,,,,,,,
67,일반음식점,미스터, 청주시 흥덕구 성봉로 223-1  1층 (복대동),,,,,,,,,,,,
68,일반음식점,이것이 찜닭이다, 청주시 흥덕구 풍산로128번길 18-2  산신암 1층 (복대동),,,,,,,,,,,,
69,일반음식점,다인식당, 청주시 흥덕구 성봉로275번길 42-1  지하층 (복대동),,,,,,,,,,,,
70,일반음식점,열혈분식 청주, 청주시 흥덕구 복대로158번길 22  1층 (복대동),,,,,,,,,,,,
71,일반음식점,왕천파닭복대점, 청주시 흥덕구 복대로 112  1층 3~4호 (복대동),,,,,,,,,,,,
72,일반음식점,기차역, 청주시 흥덕구 봉명로149번길 40  1층 (봉명동),,,,,,,,,,,,
73,일반음식점,김민재감자탕, 청주시 흥덕구 풍산로156번길 3  1층 (복대동),,,,,,,,,,,,
74,일반음식점,서가수제돈까스, 청주시 흥덕구 복대로 143  덕일아파트상가 아 1층 108호 (복대동),,,,,,,,,,,,
75,일반음식점,로뎀나무, 청주시 흥덕구 월명로 9  1층 (복대동),,,,,,,,,,,,
76,일반음식점,79대포 청주가경덕일점, 청주시 흥덕구 가경로 88  15동 1층 105호 (가경동),,,,,,,,,,,,
77,일반음식점,달콤한 힐링, 청주시 흥덕구 복대로118번길 16  9동 1층 105호 (복대동  삼일아파트),,,,,,,,,,,,
78,일반음식점,맛있는밥 한끼 , 청주시 흥덕구 내수동로34번길 17  대덕옵틱청주지점 1층 (복대동),,,,,,,,,,,,
79,일반음식점,엽이네, 청주시 흥덕구 복대로146번길 48  1층 (복대동),,,,,,,,,,,,
80,일반음식점,먹쇠, 청주시 흥덕구 봉명로227번길 21  1층 (봉명동),,,,,,,,,,,,
81,일반음식점,꼬마김밥나라, 청주시 흥덕구 가경로 158  상가14동 1층 108호 (가경동  형석1차아파트),,,,,,,,,,,,
82,일반음식점,카페노네임(Cafe no name), 청주시 흥덕구 충대로 10  1층 (복대동),,,,,,,,,,,,
83,일반음식점,어썸피자(awesome pizza), 청주시 흥덕구 천석로 76  1층 (봉명동),,,,,,,,,,,,
84,일반음식점,경성술집 가경점, 청주시 흥덕구 가경로 88  15동 102호 (가경동),,,,,,,,,,,,
85,일반음식점,홈베이커리(Home Bakery), 청주시 흥덕구 봉명로 146  1층 (봉명동),,,,,,,,,,,,
86,일반음식점,카페프라이드(Cafe PRIDE), 청주시 흥덕구 봉명로 223  3층 (봉명동),,,,,,,,,,,,
87,일반음식점,러브로코 인 수아몽, 청주시 흥덕구 천석로77번길 8  101호 (봉명동),,,,,,,,,,,,
88,일반음식점,풀잎한식뷔페, 청주시 흥덕구 복대로190번길 81  1층 (복대동),,,,,,,,,,,,
89,일반음식점,오징어회포차, 청주시 흥덕구 내수동로 41  1층 (복대동),,,,,,,,,,,,
90,일반음식점,란데유, 청주시 흥덕구 봉명로 120-1  1층 (봉명동),,,,,,,,,,,,
91,일반음식점,장터, 청주시 흥덕구 복대로146번길 57  1층 (복대동),,,,,,,,,,,,
92,일반음식점,맛들의축제, 청주시 흥덕구 신율로 160  1층 2호 (복대동),,,,,,,,,,,,
93,일반음식점,엠(M)이다, 청주시 흥덕구 충대로 4  101동 101호 (복대동),,,,,,,,,,,,
94,일반음식점,핫오리, 청주시 흥덕구 성봉로 299  1층 (복대동),,,,,,,,,,,,
95,일반음식점,청년피자, 청주시 흥덕구 신율로 117  1층 (복대동),,,,,,,,,,,,
96,일반음식점,가야칡냉면, 청주시 흥덕구 풍산로133번길 27  1층 (복대동),,,,,,,,,,,,
97,일반음식점,이모네국수, 청주시 흥덕구 복대로146번길 82  1층 (복대동),,,,,,,,,,,,
98,일반음식점,대박포차, 청주시 흥덕구 월명로 3  1층 (복대동),,,,,,,,,,,,
99,일반음식점,꿀규네낙곱새, 청주시 흥덕구 성봉로 245-1 (복대동),,,,,,,,,,,,
100,일반음식점,고래고래, 청주시 흥덕구 풍산로137번길 3  1층 (복대동),,,,,,,,,,,,
101,일반음식점,카멜앤메이(Camel & May), 청주시 흥덕구 성봉로 267  1층 (복대동),,,,,,,,,,,,
102,일반음식점,Master's (마스터스), 청주시 흥덕구 봉명로 150  1층 (봉명동),,,,,,,,,,,,
103,일반음식점,엄지닭발포차 153, 청주시 흥덕구 천석로 50  1층 (봉명동),,,,,,,,,,,,
104,일반음식점,느낌짬뽕, 청주시 흥덕구 풍산로128번길 39  1층 (복대동),,,,,,,,,,,,
105,일반음식점,전도팔고밥도팔고, 청주시 흥덕구 내수동로12번길 6  2층 2호 (복대동  효성아파트),,,,,,,,,,,,
106,일반음식점,사골먹은감자탕, 청주시 흥덕구 가경로 155-1  1층 (가경동),,,,,,,,,,,,
107,일반음식점,떡뽀킹 충북대점, 청주시 흥덕구 성봉로 281  1층 (복대동),,,,,,,,,,,,
108,일반음식점,시그니처피자 청주2호점, 청주시 흥덕구 풍산로118번길 28-2  1층 (복대동),,,,,,,,,,,,
109,일반음식점,토박이 무쇠가마솥 닭강정, 청주시 흥덕구 가경로149번길 16-2  1층 일부호 (가경동),,,,,,,,,,,,
110,일반음식점,자담치킨 가경점, 청주시 흥덕구 가경로 180  신라아파트 1동 1층 101호 (가경동),,,,,,,,,,,,
111,일반음식점,달코미, 청주시 흥덕구 천석로 73  1층 13호 (봉명동  봉명상가아파트),,,,,,,,,,,,
112,일반음식점,싱글라이프, 청주시 흥덕구 장구봉로 139  1층 (복대동),,,,,,,,,,,,
113,일반음식점,멜니짜, 청주시 흥덕구 월명로13번길 10-1 (주)새한필터 1층 (복대동),,,,,,,,,,,,
114,일반음식점,뉴욕찜닭&닭도리탕, 청주시 흥덕구 천석로35번길 9  1층 (봉명동),,,,,,,,,,,,
115,일반음식점,그래그래피자떡볶이, 청주시 흥덕구 봉명로 117-2  1층 (봉명동),,,,,,,,,,,,
116,일반음식점,진미명가, 청주시 흥덕구 가경로173번길 10  1층 (가경동),,,,,,,,,,,,
117,일반음식점,커피앤, 청주시 흥덕구 충대로13번길 51  1층 (복대동),,,,,,,,,,,,
118,일반음식점,감성키친, 청주시 흥덕구 성봉로 255  1층 (복대동),,,,,,,,,,,,
119,일반음식점,존가네(청주점), 청주시 흥덕구 월명로32번길 3  1층 (봉명동),,,,,,,,,,,,
120,일반음식점,흥일생고기전문점, 청주시 흥덕구 봉명로 120 (봉명동),,,,,,,,,,,,
121,일반음식점,청미옥, 청주시 흥덕구 성봉로 229 (복대동),,,,,,,,,,,,
122,일반음식점,술애방, 청주시 흥덕구 풍산로 118  1층 일부호 (복대동),    043- 236-9289,,,,,,,,,,,
123,일반음식점,허가네 돼지갈비, 청주시 흥덕구 복대로 218 (복대동 외 1필지(1층)),    043- 238-1117,,,,,,,,,,,
124,일반음식점,맛있는밥상, 청주시 흥덕구 풍산로118번길 14-1  1층 (복대동),    043- 258-0204,,,,,,,,,,,
125,일반음식점,성미식당, 청주시 흥덕구 월명로 46 (봉명동),    043- 264-0011,,,,,,,,,,,
126,일반음식점,호야식당, 청주시 흥덕구 성봉로 277 (복대동 (1층)),    043- 264-2291,,,,,,,,,,,
127,일반음식점,전주식당, 청주시 흥덕구 내수동로12번길 6  효성아파트상가동 1층 4호 (복대동),    043- 267-0478,,,,,,,,,,,
128,일반음식점,서당골에가면, 청주시 흥덕구 내수동로55번길 10-4 (복대동 외 2필지(1층)),    043- 268-5294,,,,,,,,,,,
129,일반음식점,전설의불닭, 청주시 흥덕구 내수동로42번길 8 (복대동 (1층)),    043- 277-9233,,,,,,,,,,,
130,일반음식점,송도횟집, 청주시 흥덕구 복대로 106  삼일아파트상가동 1층 2호 (복대동), 043- 225-3989,,,,,,,,,,,
131,일반음식점,몰리라이브, 청주시 흥덕구 가경로173번길 6 (가경동 (지하1층)), 043- 231-0877,,,,,,,,,,,
132,일반음식점,황금돼지, 청주시 흥덕구 신율로111번길 52 (복대동 (1층)), 043- 231-2048,,,,,,,,,,,
133,일반음식점,힐링호프, 청주시 흥덕구 신율로 121 (복대동), 043- 231-5792,,,,,,,,,,,
134,일반음식점,체로키돈가스가경본점, 청주시 흥덕구 가경로189번길 7-1 (가경동), 043- 232-0629,,,,,,,,,,,
135,일반음식점,임실치즈피자, 청주시 흥덕구 복대로 94  1층 (복대동  형석아파트상가동111 112 113호), 043- 232-0987,36.6252178,127.4408985,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EC%B2%AD%EC%A3%BC %ED%9D%A5%EB%8D%95%EA%B5%AC %EC%9E%84%EC%8B%A4%EC%B9%98%EC%A6%88%ED%94%BC%EC%9E%90&oquery=%EC%B2%AD%EC%A3%BC %EC%B2%B4%EB%A1%9C%ED%82%A4%EB%8F%88%EA%B9%8C%EC%8A%A4&tqi=Uq%2FxalprvTVsskvSUOVssssssFN-371966,30000,피자 오븐스파게티,,,,,,
136,일반음식점,옛날밥집, 청주시 흥덕구 풍산로109번길 13 (복대동 (1층)), 043- 232-2242,,,,,,,,,,,
137,일반음식점,뺑이콩나물, 청주시 흥덕구 복대로 207 (복대동 (1층)), 043- 232-4336,36.6349496,127.4383304,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EB%BA%91%EC%9D%B4%EC%BD%A9%EB%82%98%EB%AC%BC&oquery=%EC%B2%AD%EC%A3%BC %ED%9D%A5%EB%8D%95%EA%B5%AC %EC%9E%84%EC%8B%A4%EC%B9%98%EC%A6%88%ED%94%BC%EC%9E%90&tqi=Uq%2FymwprvmsssfIdCv4ssssstG4-383463,8000,닭도리탕 콩나물해장국 오징어볶음 제육볶음 파전,,,,,,
138,일반음식점,빼돌린뒷고기, 청주시 흥덕구 풍산로 121-1 (복대동 (1층)), 043- 232-4800,36.6293532,127.4412321,,7000,뒷고기 뽈살 막창,,,,,,
139,일반음식점,태성순대촌, 청주시 흥덕구 복대로146번길 5-10 (복대동), 043- 232-5283,,,,,,,,,,,
140,일반음식점,영상식당, 청주시 흥덕구 풍산로 114 (복대동 (1층)), 043- 232-8005,,,,,,,,,,,
141,일반음식점,서부의사나이, 청주시 흥덕구 풍산로 105 (복대동), 043- 232-9555,ㅁ,,,,,,,,,,
142,일반음식점,우왕우, 청주시 흥덕구 복대로200번길 4 (복대동), 043- 232-9592,ㅁ,,,,,,,,,,
143,일반음식점,두툼이생고기, 청주시 흥덕구 복대로 130-1 (복대동 (1층)), 043- 233-0088,36.6280433,127.4390143,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EC%B2%AD%EC%A3%BC %EB%91%90%ED%88%BC%EC%9D%B4%EC%83%9D%EA%B3%A0%EA%B8%B0&oquery=%EC%B2%AD%EC%A3%BC %EC%84%9C%EB%B6%80%EC%9D%98%EC%82%AC%EB%82%98%EC%9D%B4&tqi=Uq%2F16sp0YiRssn1AP%2FGsssssttN-035510,12000,생삼겹살 항정살 우삼겹 양념불고기,,,,,,
144,일반음식점,맥시칸치킨, 청주시 흥덕구 가경로161번길 8-2 (가경동), 043- 233-2119,36.6290569,127.4339944,http://www.mexican.co.kr/2020/inner.php?sMenu=main,18000,치킨,,,,,,
145,일반음식점,장군김밥, 청주시 흥덕구 가경로 123 (가경동 (1층)), 043- 233-3036,36.6259128,127.4355659,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EC%B2%AD%EC%A3%BC %EC%9E%A5%EA%B5%B0%EA%B9%80%EB%B0%A5&oquery=%EB%A7%A5%EC%8B%9C%EC%B9%B8%EC%B9%98%ED%82%A8 %EB%A9%94%EB%89%B4 %EA%B0%80%EA%B2%A9&tqi=Uq%2F2Ssp0Yidssh70XD0ssssstLG-149714,5000,김밥 돈까스 라면 잔치국수 김치찌개 육개장,,,,,,
146,일반음식점,청주함흥면옥, 청주시 흥덕구 복대로 191  1층 (복대동), 043- 233-3551,36.6336438,127.4383533,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EC%B2%AD%EC%A3%BC %EC%B2%AD%EC%A3%BC%ED%95%A8%ED%9D%A5%EB%A9%B4%EC%98%A5&oquery=%EC%B2%AD%EC%A3%BC %EC%9E%A5%EA%B5%B0%EA%B9%80%EB%B0%A5&tqi=Uq%2F2Edp0YidsshWsQFRssssst4C-335801,10000,육회 돼지갈비 삼겹살 회냉면 냉면,,,,,,
147,일반음식점,명동김밥, 청주시 흥덕구 가경로 9-6 (가경동 (1층)), 043- 233-3883,36.6168613,127.4411822,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EC%B2%AD%EC%A3%BC %EB%AA%85%EB%8F%99%EA%B9%80%EB%B0%A5&oquery=%EC%B2%AD%EC%A3%BC %EC%B2%AD%EC%A3%BC%ED%95%A8%ED%9D%A5%EB%A9%B4%EC%98%A5&tqi=Uq%2F28sp0Jy0ss46aA4Gssssstpd-323124,4000,김밥 라면 올갱이국 김치찌개 된장찌개,,,,,,
148,일반음식점,복대순대, 청주시 흥덕구 풍산로 112 (복대동 (1층)), 043- 233-3886,36.6290721,127.4401071,https://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&query=%EC%B2%AD%EC%A3%BC %EB%B3%B5%EB%8C%80%EC%88%9C%EB%8C%80&oquery=%EC%B2%AD%EC%A3%BC %EB%AA%85%EB%8F%99%EA%B9%80%EB%B0%A5&tqi=Uq%2F3dsp0YiRssUTzuThssssstwd-098675,7000,국밥 술국 순대 머리고기,,,,,,
